GEO,REF_DATE,Statistics,UID,VALUE
"Amherstburg, Ontario, municipal [35007]",2012,Crime severity index,6,17
"Amherstburg, Ontario, municipal [35007]",2014,Crime severity index,,17.11
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2015,Crime severity index,,17.18
"Deep River, Ontario, municipal [35078]",2017,Crime severity index,55,17.2
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2010,Crime severity index,,17.28
"Peterborough County (Douro/Dummer), Ontario, Ontario Provincial Police, municipal [35019]",2014,Crime severity index,,17.43
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2013,Crime severity index,,17.46
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2006,Crime severity index,,17.5
"Armstrong, Ontario, Ontario Provincial Police, rural [35687]",2006,Crime severity index,9,17.68
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2013,Crime severity index,117,17.69
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2018,Crime severity index,306,17.78
"Deep River, Ontario, municipal [35078]",2016,Crime severity index,,17.89
"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal [35508]",2014,Crime severity index,90,17.94
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2015,Crime severity index,,17.94
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2017,Crime severity index,,17.94
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2013,Crime severity index,,18.22
"Grenville County (Merrickville-Wolford), Ontario, Ontario Provincial Police, municipal [35045]",2020,Crime severity index,113,18.3
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2017,Crime severity index,,18.31
"Upper Ottawa Valley (Petawawa), Ontario, Ontario Provincial Police, municipal [35169]",2018,Crime severity index,,18.4
"Armstrong, Ontario, Ontario Provincial Police, rural [35687]",2005,Crime severity index,,18.59
"Dufferin (Amaranth), Ontario, Ontario Provincial Police, municipal [35160]",2004,Crime severity index,,18.65
"Sioux Lookout, Ontario, Ontario Provincial Police, rural [35595]",2020,Crime severity index,358,18.65
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2008,Crime severity index,,18.67
"LaSalle, Ontario, municipal [35388]",2015,Crime severity index,,18.69
"Sault Ste. Marie (Laird), Ontario, Ontario Provincial Police, municipal [35134]",2018,Crime severity index,,18.97
"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal [35119]",2015,Crime severity index,,18.98
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2017,Crime severity index,314,18.98
"Lanark County (Beckwith), Ontario, Ontario Provincial Police, municipal [35043]",2006,Crime severity index,,19
"James Bay (Smooth Rock Falls), Ontario, Ontario Provincial Police, municipal [35079]",2003,Crime severity index,170,19.1
"Renfrew (Admaston/Bromley), Ontario, Ontario Provincial Police, municipal [35166]",2008,Crime severity index,,19.13
"LaSalle, Ontario, municipal [35388]",2020,Crime severity index,,19.15
"Sault Ste. Marie (Macdonald/Meredith), Ontario, Ontario Provincial Police, municipal [35132]",2002,Crime severity index,,19.19
"Essex County (Kingsville), Ontario, Ontario Provincial Police, municipal [35508]",1998,Crime severity index,,19.25
"Grey Bruce (Georgian Bluffs), Ontario, Ontario Provincial Police, municipal [35138]",2003,Crime severity index,,19.25
"North Bay (East Ferris), Ontario, Ontario Provincial Police, municipal [35149]",2005,Crime severity index,,19.25
"LaSalle, Ontario, municipal [35388]",2013,Crime severity index,,19.35
"Amherstburg, Ontario, municipal [35007]",2015,Crime severity index,,19.39
