GEO,REF_DATE,Statistics,UID,VALUE
"Renfrew, Ontario, Ontario Provincial Police, rural [35559]",2005,Crime severity index,,43.82
"Prince Edward, Ontario, Ontario Provincial Police, municipal [35077]",2007,Crime severity index,,43.85
"Kenora, Ontario, Ontario Provincial Police, municipal [35150]",2007,Crime severity index,,43.86
"West Grey, Ontario, municipal [35088]",2009,Crime severity index,,43.89
"Russell County (Casselman), Ontario, Ontario Provincial Police, municipal [35180]",2015,Crime severity index,,43.89
"Northumberland (Port Hope), Ontario, Ontario Provincial Police, municipal [35093]",2012,Crime severity index,,43.9
"Oxford, Ontario, Ontario Provincial Police, rural [35517]",2012,Crime severity index,,43.91
"James Bay (Smooth Rock Falls), Ontario, Ontario Provincial Police, municipal [35079]",2013,Crime severity index,,43.92
"Killaloe, Ontario, Ontario Provincial Police, rural [35648]",2013,Crime severity index,,43.92
"Norfolk County, Ontario, Ontario Provincial Police, municipal [35070]",2018,Crime severity index,,43.97
"Perth County, Ontario, Ontario Provincial Police, rural [35538]",2005,Crime severity index,,43.98
"Killaloe, Ontario, Ontario Provincial Police, rural [35648]",2011,Crime severity index,,44
"Lennox and Addington County East (Loyalist), Ontario, Ontario Provincial Police, municipal [35099]",2005,Crime severity index,,44
"Oxford, Ontario, Ontario Provincial Police, rural [35517]",2009,Crime severity index,,44
"Peterborough County (Havelock/Belmont/Methuen), Ontario, Ontario Provincial Police, municipal [35022]",2018,Crime severity index,,44
"Grenville County (Augusta), Ontario, Ontario Provincial Police, municipal [35044]",2000,Crime severity index,,44
"Rainy River District (Atikokan), Ontario, Ontario Provincial Police, municipal [35172]",2013,Crime severity index,328,44
"Nipigon (Terrace Bay), Ontario, Ontario Provincial Police, municipal [35115]",2002,Crime severity index,,44
"Lennox and Addington County East (Loyalist), Ontario, Ontario Provincial Police, municipal [35099]",2007,Crime severity index,,44
"Hawkesbury, Ontario, Ontario Provincial Police, rural [35563]",2016,Crime severity index,,44
"Huron (Goderich), Ontario, Ontario Provincial Police, municipal [35493]",2016,Crime severity index,,44
"Elgin County, Ontario, Ontario Provincial Police, municipal [35105]",2004,Crime severity index,,44.1
"Bracebridge (Muskoka Lakes & Georgian Bay), Ontario, Ontario Provincial Police, rural [35541]",2016,Crime severity index,,44.1
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2007,Crime severity index,,44.14
"Northumberland (Trent Hills), Ontario, Ontario Provincial Police, municipal [35110]",2012,Crime severity index,,44.15
"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal [35119]",2006,Crime severity index,,44.18
"Bruce Peninsula, Ontario, Ontario Provincial Police, rural [35626]",2014,Crime severity index,,44.18
"Dufferin (East Garafraxa), Ontario, Ontario Provincial Police, municipal [35129]",2012,Crime severity index,,44.19
"Grenville County (Edwardsburgh/Cardinal), Ontario, Ontario Provincial Police, rural [35646]",2012,Crime severity index,,44.2
"Kirkland Lake, Ontario, Ontario Provincial Police, rural [35661]",2017,Crime severity index,189,44.2
"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal [35156]",2015,Crime severity index,92,44.21
"Killaloe, Ontario, Ontario Provincial Police, rural [35648]",2020,Crime severity index,,44.21
"Peel Region (Mississauga/Brampton), Ontario, municipal [35041]",2019,Crime severity index,,44.25
"City of Kawartha Lakes, Ontario, Ontario Provincial Police, rural [35549]",2008,Crime severity index,,44.26
"Stormont/Dundas/Glengarry, Ontario, Ontario Provincial Police, municipal [35089]",2007,Crime severity index,,44.27
"York Region, Ontario, municipal [35335]",2019,Crime severity index,,44.28
"Amherstburg, Ontario, municipal [35007]",2000,Crime severity index,,44.3
"Quinte West, Ontario, Ontario Provincial Police, municipal [35159]",2017,Crime severity index,,44.3
"Peterborough County (Cavan-Millbrook-North Monaghan), Ontario, Ontario Provincial Police, municipal [35024]",2010,Crime severity index,,44.32
"Nipigon (Terrace Bay), Ontario, Ontario Provincial Police, municipal [35115]",2011,Crime severity index,,44.32
"Renfrew, Ontario, Ontario Provincial Police, rural [35559]",2004,Crime severity index,,44.34
"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal [35090]",2009,Crime severity index,,44.34
"Essex County (Essex), Ontario, Ontario Provincial Police, municipal [35101]",2006,Crime severity index,,44.35
"Wellington County, Ontario, Ontario Provincial Police, municipal [35073]",2000,Crime severity index,,44.37
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2019,Crime severity index,,44.43
"Essex County (Tecumseh), Ontario, Ontario Provincial Police, municipal [35506]",2019,Crime severity index,,44.43
"Perth County (North Perth), Ontario, Ontario Provincial Police, municipal [35069]",2001,Crime severity index,,44.44
"Stormont/Dundas/Glengarry, Ontario, Ontario Provincial Police, municipal [35089]",2010,Crime severity index,,44.44
"Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal [35494]",2007,Crime severity index,,44.45
"Lambton (Point Edward), Ontario, Ontario Provincial Police, municipal [35015]",2007,Crime severity index,193,44.46
"Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio), Ontario, Ontario Provincial Police, municipal [35470]",2009,Crime severity index,,44.47
"Central Hastings (Stirling-Rawdon), Ontario, Ontario Provincial Police, municipal [35273]",2000,Crime severity index,,44.48
"Elgin County, Ontario, Ontario Provincial Police, municipal [35105]",2005,Crime severity index,,44.48
"Grey Bruce (Southgate), Ontario, Ontario Provincial Police, municipal [35103]",2003,Crime severity index,,44.49
"East Algoma (Blind River/Thessalon), Ontario, Ontario Provincial Police, rural [35576]",2003,Crime severity index,,44.49
"York Region, Ontario, municipal [35335]",2009,Crime severity index,,44.49
"West Grey, Ontario, municipal [35088]",2014,Crime severity index,,44.52
"Dufferin (Town of Grand Valley), Ontario, Ontario Provincial Police, municipal [35119]",2002,Crime severity index,,44.53
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2012,Crime severity index,,44.55
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2017,Crime severity index,,44.55
"Bancroft, Ontario, Ontario Provincial Police, rural [35553]",2019,Crime severity index,18,44.57
"Lanark County (Perth), Ontario, Ontario Provincial Police, municipal [35221]",2013,Crime severity index,202,44.6
"Northumberland (Brighton), Ontario, Ontario Provincial Police, municipal [35016]",2004,Crime severity index,,44.61
"Middlesex (Strathroy), Ontario, Ontario Provincial Police, rural [35609]",2007,Crime severity index,,44.63
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2017,Crime severity index,,44.72
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2007,Crime severity index,,44.73
"Marathon, Ontario, Ontario Provincial Police, municipal [35471]",2009,Crime severity index,,44.75
"Hawkesbury, Ontario, Ontario Provincial Police, rural [35563]",2010,Crime severity index,,44.75
"Norfolk County, Ontario, Ontario Provincial Police, municipal [35070]",2014,Crime severity index,,44.75
"South Bruce (Brockton), Ontario, Ontario Provincial Police, municipal [35145]",2015,Crime severity index,,44.75
"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal [35090]",2010,Crime severity index,,44.77
"City of Kawartha Lakes, Ontario, Ontario Provincial Police, rural [35549]",2009,Crime severity index,,44.82
"Strathroy-Caradoc, Ontario, municipal [35282]",2005,Crime severity index,,44.83
"Norfolk County, Ontario, Ontario Provincial Police, municipal [35070]",2015,Crime severity index,,44.86
"Perth County (St. Marys), Ontario, Ontario Provincial Police, municipal [35487]",2002,Crime severity index,,44.88
"Leeds County (Rideau Lakes), Ontario, Ontario Provincial Police, municipal [35034]",2015,Crime severity index,,44.89
"Perth County (St. Marys), Ontario, Ontario Provincial Police, municipal [35487]",2011,Crime severity index,,44.9
"Grey Bruce (Northern Bruce Peninsula), Ontario, Ontario Provincial Police, municipal [35300]",2019,Crime severity index,,44.9
"Leeds County (Brockville), Ontario, Ontario Provincial Police, rural [35558]",2007,Crime severity index,,44.91
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2006,Crime severity index,,44.94
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2012,Crime severity index,,44.95
"Hawkesbury (Alfred and Plantagenet), Ontario, Ontario Provincial Police, municipal [35293]",2019,Crime severity index,136,44.98
"Grenville County (Edwardsburgh/Cardinal), Ontario, Ontario Provincial Police, rural [35646]",2017,Crime severity index,,45
"Kapuskasing, Ontario, Ontario Provincial Police, rural [35682]",2003,Crime severity index,,45
"Lanark County (Carleton Place), Ontario, Ontario Provincial Police, municipal [35140]",2016,Crime severity index,,45
"Middlesex (Strathroy), Ontario, Ontario Provincial Police, rural [35609]",2005,Crime severity index,,45
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2017,Crime severity index,,45
"York Region, Ontario, municipal [35335]",2008,Crime severity index,,45
"Port Hope, Ontario, municipal [35235]",2020,Crime severity index,,45
"South Simcoe (Innisfil), Ontario, municipal [35275]",2008,Crime severity index,,45
"Central Hastings, Ontario, Ontario Provincial Police, rural [35550]",2015,Crime severity index,,45
"Huntsville, Ontario, Ontario Provincial Police, rural [35631]",2012,Crime severity index,,45
"Peel Region (Mississauga/Brampton), Ontario, municipal [35041]",2017,Crime severity index,,45
"Hawkesbury (Champlain), Ontario, Ontario Provincial Police, municipal [35292]",2020,Crime severity index,137,45.1
"Oxford (Tillsonburg), Ontario, Ontario Provincial Police, municipal [35106]",2016,Crime severity index,,45.11
"City of Kawartha Lakes, Ontario, Ontario Provincial Police, rural [35549]",2011,Crime severity index,,45.16
"Shelburne, Ontario, municipal [35265]",2010,Crime severity index,,45.17
"Brant County, Ontario, Ontario Provincial Police, municipal [35109]",2018,Crime severity index,,45.18
"Huntsville, Ontario, Ontario Provincial Police, rural [35631]",2014,Crime severity index,,45.21
"Caledon, Ontario, Ontario Provincial Police, municipal [35461]",1999,Crime severity index,,45.22
"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal [35206]",2012,Crime severity index,,45.22
"South Bruce (Kincardine), Ontario, Ontario Provincial Police, municipal [35482]",2003,Crime severity index,,45.23
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2004,Crime severity index,,45.23
"Aylmer, Ontario, municipal [35014]",2019,Crime severity index,,45.23
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2001,Crime severity index,,45.26
"Amherstburg, Ontario, municipal [35007]",2001,Crime severity index,,45.29
"Northumberland (Port Hope), Ontario, Ontario Provincial Police, municipal [35093]",2006,Crime severity index,,45.29
"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal [35037]",2016,Crime severity index,,45.3
"Northumberland (Alnwick/Haldimand), Ontario, Ontario Provincial Police, municipal [35091]",2003,Crime severity index,,45.31
"East Algoma (Blind River/Thessalon), Ontario, Ontario Provincial Police, rural [35576]",2016,Crime severity index,,45.33
"Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio), Ontario, Ontario Provincial Police, municipal [35470]",2004,Crime severity index,,45.4
"Huronia West (Wasaga Beach), Ontario, Ontario Provincial Police, municipal [35276]",2019,Crime severity index,161,45.4
"Sudbury (West Nipissing), Ontario, Ontario Provincial Police, municipal [35284]",2011,Crime severity index,,45.43
"Wellington County, Ontario, Ontario Provincial Police, municipal [35073]",2002,Crime severity index,,45.47
"Leeds County (Brockville), Ontario, Ontario Provincial Police, rural [35558]",2004,Crime severity index,,45.47
"Leeds County (Brockville), Ontario, Ontario Provincial Police, rural [35558]",2012,Crime severity index,,45.49
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2003,Crime severity index,,45.5
"Ottawa, Ontario, municipal [35010]",2014,Crime severity index,285,45.5
"Huntsville, Ontario, Ontario Provincial Police, rural [35631]",2016,Crime severity index,,45.5
"Stormont/Dundas/Glengarry, Ontario, Ontario Provincial Police, municipal [35089]",2005,Crime severity index,,45.51
"Grenville County (Merrickville-Wolford), Ontario, Ontario Provincial Police, municipal [35045]",2016,Crime severity index,,45.51
"South Bruce (Kincardine), Ontario, Ontario Provincial Police, municipal [35482]",2018,Crime severity index,,45.52
"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal [35156]",2014,Crime severity index,,45.53
"Renfrew, Ontario, Ontario Provincial Police, rural [35559]",2016,Crime severity index,,45.53
"Peterborough County (Asphodel-Norwood), Ontario, Ontario Provincial Police, municipal [35018]",2004,Crime severity index,,45.55
"Huron (Huron/Wingham), Ontario, Ontario Provincial Police, rural [35539]",2016,Crime severity index,,45.55
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2018,Crime severity index,,45.57
"Grenville County (Augusta), Ontario, Ontario Provincial Police, municipal [35044]",2009,Crime severity index,,45.58
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2003,Crime severity index,,45.63
"Bracebridge (Muskoka Lakes & Georgian Bay), Ontario, Ontario Provincial Police, rural [35541]",2018,Crime severity index,,45.63
"Middlesex (Thames Centre), Ontario, Ontario Provincial Police, municipal [35201]",2020,Crime severity index,,45.63
"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal [35037]",2011,Crime severity index,,45.68
"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal [35206]",2019,Crime severity index,,45.69
"Peterborough County (North Kawartha), Ontario, Ontario Provincial Police, municipal [35085]",2017,Crime severity index,,45.7
"South Simcoe (Innisfil), Ontario, municipal [35275]",1999,Crime severity index,,45.72
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2004,Crime severity index,,45.72
"East Algoma (Blind River/Thessalon), Ontario, Ontario Provincial Police, rural [35576]",2005,Crime severity index,,45.72
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2020,Crime severity index,,45.72
"Peterborough County (Havelock/Belmont/Methuen), Ontario, Ontario Provincial Police, municipal [35022]",2020,Crime severity index,,45.73
"East Algoma (Thessalon), Ontario, Ontario Provincial Police, municipal [35057]",2009,Crime severity index,,45.74
"Leeds County (Brockville), Ontario, Ontario Provincial Police, rural [35558]",2009,Crime severity index,,45.75
"Port Hope, Ontario, municipal [35235]",2012,Crime severity index,,45.79
"Superior East, Ontario, Ontario Provincial Police, rural [35577]",2014,Crime severity index,387,45.79
"Sudbury (West Nipissing), Ontario, Ontario Provincial Police, municipal [35284]",2015,Crime severity index,,45.79
"Cobourg, Ontario, municipal [35071]",2016,Crime severity index,,45.8
"North Bay, Ontario, Ontario Provincial Police, rural [35565]",2019,Crime severity index,257,45.82
"West Grey, Ontario, municipal [35088]",2005,Crime severity index,,45.86
"Hawkesbury, Ontario, Ontario Provincial Police, rural [35563]",2008,Crime severity index,,45.86
"Brant County, Ontario, Ontario Provincial Police, municipal [35109]",2010,Crime severity index,,45.86
"Lanark County (Carleton Place), Ontario, Ontario Provincial Police, municipal [35140]",2018,Crime severity index,,45.86
"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]",2007,Crime severity index,,45.89
"Essex County (Essex), Ontario, Ontario Provincial Police, municipal [35101]",1999,Crime severity index,,45.9
"Collingwood, Ontario, Ontario Provincial Police, municipal [35491]",2015,Crime severity index,,45.92
"Huntsville, Ontario, Ontario Provincial Police, rural [35631]",2017,Crime severity index,,45.92
"Huntsville (Huntsville), Ontario, Ontario Provincial Police, municipal [35269]",2020,Crime severity index,151,45.92
"Marathon, Ontario, Ontario Provincial Police, municipal [35471]",2011,Crime severity index,,45.96
"Middlesex (Strathroy), Ontario, Ontario Provincial Police, rural [35609]",2006,Crime severity index,,45.98
"Lanark County (Mississippi Mills), Ontario, Ontario Provincial Police, municipal [35036]",2004,Crime severity index,,46
"North Bay (Powassan), Ontario, Ontario Provincial Police, municipal [35068]",2006,Crime severity index,,46
"Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio), Ontario, Ontario Provincial Police, municipal [35470]",2002,Crime severity index,,46
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2013,Crime severity index,,46
"North Bay (Mattawa), Ontario, Ontario Provincial Police, municipal [35063]",2015,Crime severity index,,46
"Peterborough County (Municipality of Trent Lakes), Ontario, Ontario Provincial Police, municipal [35020]",2009,Crime severity index,,46
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2008,Crime severity index,,46
"East Algoma (Blind River/Thessalon), Ontario, Ontario Provincial Police, rural [35576]",2015,Crime severity index,,46
"Nottawasaga (New Tecumseth/Essa/Adjala Tosorontio), Ontario, Ontario Provincial Police, municipal [35470]",2006,Crime severity index,,46
"Grey Bruce (South Bruce Peninsula), Ontario, Ontario Provincial Police, municipal [35489]",2013,Crime severity index,,46.13
"Collingwood, Ontario, Ontario Provincial Police, municipal [35491]",2014,Crime severity index,,46.14
"West Grey, Ontario, municipal [35088]",2006,Crime severity index,,46.15
"Hawkesbury (Alfred and Plantagenet), Ontario, Ontario Provincial Police, municipal [35293]",2020,Crime severity index,,46.15
"South Simcoe (Innisfil), Ontario, municipal [35275]",2007,Crime severity index,,46.18
"Russell County (Rockland), Ontario, Ontario Provincial Police, rural [35656]",2003,Crime severity index,,46.19
"South Bruce (Brockton), Ontario, Ontario Provincial Police, municipal [35145]",2016,Crime severity index,,46.19
"Collingwood (The Blue Mountains), Ontario, Ontario Provincial Police, municipal [35135]",2013,Crime severity index,,46.2
"Haldimand County, Ontario, Ontario Provincial Police, municipal [35142]",2020,Crime severity index,,46.2
"Huntsville, Ontario, Ontario Provincial Police, rural [35631]",2013,Crime severity index,,46.21
"Thunder Bay, Ontario, Ontario Provincial Police, rural [35585]",2018,Crime severity index,,46.24
"Perth County (West Perth), Ontario, Ontario Provincial Police, municipal [35486]",2006,Crime severity index,,46.25
"Drummond-North Elmsley, Ontario, Ontario Provincial Police, municipal [35039]",2003,Crime severity index,,46.27
"Peterborough County (Municipality of Trent Lakes), Ontario, Ontario Provincial Police, municipal [35020]",2008,Crime severity index,,46.28
"Wellington County, Ontario, Ontario Provincial Police, municipal [35073]",2003,Crime severity index,,46.29
"Northumberland (Brighton), Ontario, Ontario Provincial Police, municipal [35016]",2006,Crime severity index,,46.29
"Upper Ottawa Valley, Ontario, Ontario Provincial Police, rural [35557]",2007,Crime severity index,,46.3
"Brant County, Ontario, Ontario Provincial Police, municipal [35109]",2011,Crime severity index,,46.3
"Deep River, Ontario, municipal [35078]",2000,Crime severity index,,46.35
"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal [35156]",2016,Crime severity index,,46.4
"Essex County (Leamington), Ontario, Ontario Provincial Police, municipal [35156]",2011,Crime severity index,,46.41
"Nipigon (Red Rock), Ontario, Ontario Provincial Police, municipal [35112]",2007,Crime severity index,,46.42
"Dufferin (Orangeville), Ontario, Ontario Provincial Police, municipal [35204]",2016,Crime severity index,,46.42
"Lennox and Addington County East (Loyalist), Ontario, Ontario Provincial Police, municipal [35099]",2003,Crime severity index,,46.49
"Rainy River District (Atikokan), Ontario, Ontario Provincial Police, municipal [35172]",2010,Crime severity index,,46.49
"Little Current (Manitoulin), Ontario, Ontario Provincial Police, rural [35572]",2013,Crime severity index,215,46.49
"Grey County (Meaford), Ontario, Ontario Provincial Police, municipal [35137]",2003,Crime severity index,,46.5
"Grenville County (Edwardsburgh/Cardinal), Ontario, Ontario Provincial Police, rural [35646]",2011,Crime severity index,,46.51
"Arnprior, Ontario, Ontario Provincial Police, rural [35251]",2019,Crime severity index,,46.53
"Aylmer, Ontario, municipal [35014]",2009,Crime severity index,,46.55
"Brant County, Ontario, Ontario Provincial Police, municipal [35109]",2017,Crime severity index,,46.56
"Bracebridge (Bracebridge), Ontario, Ontario Provincial Police, municipal [35267]",2019,Crime severity index,23,46.56
"Norfolk County, Ontario, Ontario Provincial Police, municipal [35070]",2020,Crime severity index,,46.56
"Russell County/Hawkesbury (The Nation), Ontario, Ontario Provincial Police, municipal [35190]",2020,Crime severity index,,46.58
"South Bruce (Kincardine), Ontario, Ontario Provincial Police, municipal [35482]",2019,Crime severity index,,46.59
"Northumberland (Port Hope), Ontario, Ontario Provincial Police, municipal [35093]",2000,Crime severity index,,46.6
"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",2005,Crime severity index,,46.6
"Barrie, Ontario, Ontario Provincial Police, rural [35540]",2006,Crime severity index,,46.61
"Atikokan, Ontario, municipal [35353]",2005,Crime severity index,13,46.65
"Marathon, Ontario, Ontario Provincial Police, municipal [35471]",2007,Crime severity index,,46.65
"Prince Edward, Ontario, Ontario Provincial Police, municipal [35077]",2015,Crime severity index,,46.65
"Upper Ottawa Valley (Laurentian Hills), Ontario, Ontario Provincial Police, municipal [35173]",2020,Crime severity index,,46.66
"Thunder Bay (Shuniah), Ontario, Ontario Provincial Police, municipal [35033]",2004,Crime severity index,,46.67
"South Simcoe (Innisfil), Ontario, municipal [35275]",2000,Crime severity index,,46.69
"North Bay, Ontario, Ontario Provincial Police, rural [35565]",2018,Crime severity index,,46.69
"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal [35090]",2008,Crime severity index,,46.71
"Essex County (Tecumseh), Ontario, Ontario Provincial Police, municipal [35506]",1999,Crime severity index,,46.75
"Dryden, Ontario, Ontario Provincial Police, rural [35592]",2012,Crime severity index,61,46.75
"Dufferin (Mono), Ontario, Ontario Provincial Police, municipal [35026]",2005,Crime severity index,,46.77
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2007,Crime severity index,,46.79
"Sudbury (West Nipissing), Ontario, Ontario Provincial Police, municipal [35284]",2012,Crime severity index,,46.8
"Dufferin (Melancthon), Ontario, Ontario Provincial Police, municipal [35161]",2005,Crime severity index,,46.81
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2020,Crime severity index,,46.81
"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal [35037]",2005,Crime severity index,,46.88
"Prince Edward, Ontario, Ontario Provincial Police, municipal [35077]",2009,Crime severity index,,46.88
"Lennox and Addington County East (Loyalist), Ontario, Ontario Provincial Police, municipal [35099]",2015,Crime severity index,,46.89
"West Grey, Ontario, municipal [35088]",2008,Crime severity index,,46.9
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2018,Crime severity index,,46.9
"Grenville County (North Grenville), Ontario, Ontario Provincial Police, municipal [35494]",2008,Crime severity index,,46.91
"Huron (Central Huron), Ontario, Ontario Provincial Police, municipal [35215]",2016,Crime severity index,153,46.92
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2020,Crime severity index,,46.96
"Leeds County (Brockville), Ontario, Ontario Provincial Police, rural [35558]",2015,Crime severity index,,46.98
"Bracebridge (Muskoka Lakes & Georgian Bay), Ontario, Ontario Provincial Police, rural [35541]",2017,Crime severity index,,47
"Southern Georgian Bay (Penetanguishene), Ontario, Ontario Provincial Police, municipal [35469]",2014,Crime severity index,370,47
"Sudbury (West Nipissing), Ontario, Ontario Provincial Police, municipal [35284]",2004,Crime severity index,,47
"St. Thomas, Ontario, municipal [35258]",2011,Crime severity index,,47
"Grey Bruce (South Bruce Peninsula), Ontario, Ontario Provincial Police, municipal [35489]",2019,Crime severity index,,47
"Huron (Huron/Wingham), Ontario, Ontario Provincial Police, rural [35539]",2012,Crime severity index,,47
"Grey Bruce (Grey Highlands), Ontario, Ontario Provincial Police, municipal [35100]",2008,Crime severity index,,47.11
"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal [35040]",2011,Crime severity index,,47.12
"Northumberland (Trent Hills), Ontario, Ontario Provincial Police, municipal [35110]",2007,Crime severity index,,47.15
"Sault Ste. Marie (Macdonald/Meredith), Ontario, Ontario Provincial Police, municipal [35132]",2020,Crime severity index,,47.15
"North Bay (Bonfield), Ontario, Ontario Provincial Police, municipal [35116]",2016,Crime severity index,,47.16
"Lambton (St. Clair/Lambton Shores), Ontario, Ontario Provincial Police, municipal [35090]",2019,Crime severity index,,47.16
"Brant County, Ontario, Ontario Provincial Police, municipal [35109]",2019,Crime severity index,,47.18
"Killaloe, Ontario, Ontario Provincial Police, rural [35648]",2008,Crime severity index,,47.2
"Rainy River District (Emo/Rainy River), Ontario, Ontario Provincial Police, rural [35490]",2005,Crime severity index,,47.22
"York Region, Ontario, municipal [35335]",2007,Crime severity index,,47.22
"Temiskaming, Ontario, Ontario Provincial Police, rural [35660]",2011,Crime severity index,,47.22
"Dryden (Ignace), Ontario, Ontario Provincial Police, municipal [35028]",2020,Crime severity index,59,47.22
"Elgin County, Ontario, Ontario Provincial Police, municipal [35105]",2007,Crime severity index,,47.23
"North Bay, Ontario, Ontario Provincial Police, rural [35565]",2017,Crime severity index,,47.23
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2008,Crime severity index,,47.24
"Central Hastings, Ontario, Ontario Provincial Police, rural [35550]",2013,Crime severity index,,47.25
"Saugeen Shores, Ontario, municipal [35240]",2009,Crime severity index,,47.3
"Perth County (St. Marys), Ontario, Ontario Provincial Police, municipal [35487]",2003,Crime severity index,,47.34
"Exeter (South Huron), Ontario, Ontario Provincial Police, municipal [35481]",2011,Crime severity index,,47.35
"Ottawa, Ontario, municipal [35010]",2015,Crime severity index,,47.39
"Saugeen Shores, Ontario, municipal [35240]",2013,Crime severity index,,47.41
"Saugeen Shores, Ontario, municipal [35240]",2005,Crime severity index,,47.44
"Huron (Central Huron), Ontario, Ontario Provincial Police, municipal [35215]",2015,Crime severity index,,47.44
"Bracebridge (Muskoka Lakes & Georgian Bay), Ontario, Ontario Provincial Police, rural [35541]",2012,Crime severity index,,47.45
"South Simcoe (Innisfil), Ontario, municipal [35275]",2009,Crime severity index,,47.46
"South Bruce, Ontario, Ontario Provincial Police, rural [35622]",2019,Crime severity index,,47.48
"Lanark County (Lanark Highlands), Ontario, Ontario Provincial Police, municipal [35075]",2001,Crime severity index,,47.49
"Peterborough County (Selwyn), Ontario, Ontario Provincial Police, municipal [35023]",2003,Crime severity index,,47.53
"Perth County (North Perth), Ontario, Ontario Provincial Police, municipal [35069]",2004,Crime severity index,,47.54
"South Simcoe (Innisfil), Ontario, municipal [35275]",2004,Crime severity index,,47.54
"Amherstburg, Ontario, municipal [35007]",1999,Crime severity index,,47.55
"Lanark County (Montague), Ontario, Ontario Provincial Police, municipal [35037]",2001,Crime severity index,,47.56
"Marathon, Ontario, Ontario Provincial Police, municipal [35471]",2008,Crime severity index,,47.57
"Huronia West (Wasaga Beach), Ontario, Ontario Provincial Police, municipal [35276]",2020,Crime severity index,,47.58
"Quinte West, Ontario, Ontario Provincial Police, municipal [35159]",2011,Crime severity index,,47.59
"Leeds County (Rideau Lakes), Ontario, Ontario Provincial Police, municipal [35034]",2002,Crime severity index,,47.6
"Aylmer, Ontario, municipal [35014]",2017,Crime severity index,,47.64
"Red Lake, Ontario, Ontario Provincial Police, rural [35594]",2006,Crime severity index,,47.66
"Renfrew, Ontario, Ontario Provincial Police, rural [35559]",2003,Crime severity index,,47.69
"Grey Bruce (Grey Highlands), Ontario, Ontario Provincial Police, municipal [35100]",2007,Crime severity index,,47.7
"Keewatin, Ontario, Ontario Provincial Police, municipal [35030]",2002,Crime severity index,,47.73
"West Grey, Ontario, municipal [35088]",2012,Crime severity index,,47.73
"Lanark County (Tay Valley Township), Ontario, Ontario Provincial Police, municipal [35040]",1999,Crime severity index,,47.74
"Strathroy-Caradoc, Ontario, municipal [35282]",2017,Crime severity index,,47.81
"Thunder Bay, Ontario, Ontario Provincial Police, rural [35585]",2019,Crime severity index,,47.82
"Guelph, Ontario, municipal [35123]",2011,Crime severity index,,47.86
"Lennox and Addington County, Ontario, Ontario Provincial Police, rural [35552]",2010,Crime severity index,212,47.87
"Oxford (Tillsonburg), Ontario, Ontario Provincial Police, municipal [35106]",2014,Crime severity index,,47.87
"Durham Region (Oshawa/Whitby/Ajax), Ontario, municipal [35206]",2011,Crime severity index,,47.88
